,Date,Rainfall_Gallicano,Rainfall_Pontetetto,Rainfall_Monte_Serra,Rainfall_Orentano,Rainfall_Borgo_a_Mozzano,Rainfall_Piaggione,Rainfall_Calavorno,Rainfall_Croce_Arcana,Rainfall_Tereglio_Coreglia_Antelminelli,Rainfall_Fabbriche_di_Vallico,Depth_to_Groundwater_LT2,Depth_to_Groundwater_SAL,Depth_to_Groundwater_PAG,Depth_to_Groundwater_CoS,Depth_to_Groundwater_DIEC,Temperature_Orentano,Temperature_Monte_Serra,Temperature_Ponte_a_Moriano,Temperature_Lucca_Orto_Botanico,Volume_POL,Volume_CC1,Volume_CC2,Volume_CSA,Volume_CSAL,Hydrometry_Monte_S_Quirico,Hydrometry_Piaggione
0,1998-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1998-03-06,,,,,,,,,,,,,,,,,,,10.05,,,,,,,
2,1998-03-07,,,,,,,,,,,,,,,,,9.2,,10.0,,,,,,,
3,1998-03-08,,,,,,,,,,,,,,,,,11.4,,13.85,,,,,,,
4,1998-03-09,,,,,,,,,,,,,,,,,11.4,,12.85,,,,,,,
5,1998-03-10,,,,,,,,,,,,,,,,,7.95,,6.5,,,,,,,
6,1998-03-11,,,,,,,,,,,,,,,,,6.15,,,,,,,,,
7,1998-03-12,,,,,,,,,,,,,,,,,4.95,,6.8,,,,,,,
8,1998-03-13,,,,,,,,,,,,,,,,,5.4,,9.05,,,,,,,
9,1998-03-14,,,,,,,,,,,,,,,,,8.95,,8.05,,,,,,,
10,1998-03-15,,,,,,,,,,,,,,,,,9.7,,10.55,,,,,,,
11,1998-03-16,,,,,,,,,,,,,,,,,12.0,,10.6,,,,,,,
12,1998-03-17,,,,,,,,,,,,,,,,,11.85,,11.3,,,,,,,
13,1998-03-18,,,,,,,,,,,,,,,,,12.1,,12.9,,,,,,,
14,1998-03-19,,,,,,,,,,,,,,,,,12.9,,11.05,,,,,,,
15,1998-03-20,,,,,,,,,,,,,,,,,10.25,,10.15,,,,,,,
16,1998-03-21,,,,,,,,,,,,,,,,,9.8,,10.85,,,,,,,
17,1998-03-22,,,,,,,,,,,,,,,,,7.25,,6.15,,,,,,,
18,1998-03-23,,,,,,,,,,,,,,,,,5.25,,4.95,,,,,,,
19,1998-03-24,,,,,,,,,,,,,,,,,2.35,,5.8,,,,,,,
20,1998-03-25,,,,,,,,,,,,,,,,,1.65,,6.95,,,,,,,
21,1998-03-26,,,,,,,,,,,,,,,,,4.05,,6.4,,,,,,,
22,1998-03-27,,,,,,,,,,,,,,,,,7.8,,8.35,,,,,,,
23,1998-03-28,,,,,,,,,,,,,,,,,11.25,,10.75,,,,,,,
24,1998-03-29,,,,,,,,,,,,,,,,,13.5,,11.8,,,,,,,
25,1998-03-30,,,,,,,,,,,,,,,,,13.3,,12.5,,,,,,,
26,1998-03-31,,,,,,,,,,,,,,,,,14.1,,13.5,,,,,,,
27,1998-04-01,,,,,,,,,,,,,,,,,13.6,,12.9,,,,,,,
28,1998-04-02,,,,,,,,,,,,,,,,,12.35,,13.0,,,,,,,
29,1998-04-03,,,,,,,,,,,,,,,,,11.85,,14.6,,,,,,,
30,1998-04-04,,,,,,,,,,,,,,,,,12.65,,16.25,,,,,,,
31,1998-04-05,,,,,,,,,,,,,,,,,13.15,,15.5,,,,,,,
32,1998-04-06,,,,,,,,,,,,,,,,,12.2,,12.3,,,,,,,
33,1998-04-07,,,,,,,,,,,,,,,,,10.1,,12.15,,,,,,,
34,1998-04-08,,,,,,,,,,,,,,,,,10.75,,13.5,,,,,,,
35,1998-04-09,,,,,,,,,,,,,,,,,10.35,,12.65,,,,,,,
36,1998-04-10,,,,,,,,,,,,,,,,,9.2,,10.15,,,,,,,
37,1998-04-11,,,,,,,,,,,,,,,,,9.05,,11.15,,,,,,,
38,1998-04-12,,,,,,,,,,,,,,,,,7.6,,10.85,,,,,,,
39,1998-04-13,,,,,,,,,,,,,,,,,6.05,,11.75,,,,,,,
40,1998-04-14,,,,,,,,,,,,,,,,,5.2,,10.05,,,,,,,
41,1998-04-15,,,,,,,,,,,,,,,,,6.9,,9.55,,,,,,,
42,1998-04-16,,,,,,,,,,,,,,,,,10.05,,12.05,,,,,,,
43,1998-04-17,,,,,,,,,,,,,,,,,8.0,,11.6,,,,,,,
