,Date,Rainfall_Monteporzio,Rainfall_Velletri,Depth_to_Groundwater_Pozzo_1,Depth_to_Groundwater_Pozzo_2,Depth_to_Groundwater_Pozzo_3,Depth_to_Groundwater_Pozzo_4,Depth_to_Groundwater_Pozzo_5,Depth_to_Groundwater_Pozzo_6,Depth_to_Groundwater_Pozzo_7,Depth_to_Groundwater_Pozzo_8,Depth_to_Groundwater_Pozzo_9,Volume_Pozzo_1,Volume_Pozzo_2,Volume_Pozzo_3,Volume_Pozzo_4,Volume_Pozzo_5+6,Volume_Pozzo_7,Volume_Pozzo_8,Volume_Pozzo_9,Temperature_Monteporzio,Temperature_Velletri
0,2004-01-01,0.0,0.0,,,,,,,,,,,,,,,,,,5.3,8.6
1,2004-01-02,0.2,0.8,,,,,,,,,,,,,,,,,,4.7,6.25
2,2004-01-03,0.0,0.0,,,,,,,,,,,,,,,,,,5.4,9.8
3,2004-01-04,0.0,0.0,,,,,,,,,,,,,,,,,,3.35,5.95
4,2004-01-05,0.2,0.0,,,,,,,,,,,,,,,,,,3.6,5.85
5,2004-01-06,0.0,0.0,,,,,,,,,,,,,,,,,,3.9,5.75
6,2004-01-07,0.0,0.0,,,,,,,,,,,,,,,,,,4.25,5.95
7,2004-01-08,1.8,3.8,,,,,,,,,,,,,,,,,,6.35,6.7
8,2004-01-09,13.2,12.0,,,,,,,,,,,,,,,,,,6.35,8.15
9,2004-01-10,0.0,0.0,,,,,,,,,,,,,,,,,,5.45,10.5
10,2004-01-11,0.0,0.0,,,,,,,,,,,,,,,,,,5.7,9.05
11,2004-01-12,0.0,0.2,,,,,,,,,,,,,,,,,,8.3,9.5
12,2004-01-13,0.2,0.0,,,,,,,,,,,,,,,,,,11.5,11.65
13,2004-01-14,0.0,0.2,,,,,,,,,,,,,,,,,,10.9,12.05
14,2004-01-15,0.2,0.4,,,,,,,,,,,,,,,,,,5.75,10.35
15,2004-01-16,0.0,0.4,,,,,,,,,,,,,,,,,,4.65,6.25
16,2004-01-17,0.6,0.4,,,,,,,,,,,,,,,,,,7.95,8.8
17,2004-01-18,22.6,22.4,,,,,,,,,,,,,,,,,,7.65,9.5
18,2004-01-19,12.0,15.8,,,,,,,,,,,,,,,,,,6.7,8.15
19,2004-01-20,11.4,14.6,,,,,,,,,,,,,,,,,,5.7,7.9
20,2004-01-21,1.6,1.6,,,,,,,,,,,,,,,,,,3.55,7.9
21,2004-01-22,0.0,0.0,,,,,,,,,,,,,,,,,,,
22,2004-01-23,0.4,0.0,,,,,,,,,,,,,,,,,,,
23,2004-01-24,0.0,0.0,,,,,,,,,,,,,,,,,,,
24,2004-01-25,0.0,0.0,,,,,,,,,,,,,,,,,,,
25,2004-01-26,3.2,5.6,,,,,,,,,,,,,,,,,,1.55,
26,2004-01-27,10.4,19.4,,,,,,,,,,,,,,,,,,5.15,6.35
27,2004-01-28,1.8,4.4,,,,,,,,,,,,,,,,,,3.0,5.85
28,2004-01-29,3.4,10.2,,,,,,,,,,,,,,,,,,2.2,
29,2004-01-30,1.2,3.6,,,,,,,,,,,,,,,,,,,
30,2004-01-31,0.2,0.0,,,,,,,,,,,,,,,,,,3.5,
31,2004-02-01,0.0,0.0,,,,,,,,,,,,,,,,,,4.75,6.5
32,2004-02-02,0.0,0.0,,,,,,,,,,,,,,,,,,6.1,8.1
33,2004-02-03,0.0,0.0,,,,,,,,,,,,,,,,,,7.25,10.4
34,2004-02-04,0.0,0.0,,,,,,,,,,,,,,,,,,12.65,12.65
35,2004-02-05,0.0,0.0,,,,,,,,,,,,,,,,,,7.85,8.65
36,2004-02-06,0.2,0.2,,,,,,,,,,,,,,,,,,6.15,8.95
37,2004-02-07,0.0,0.0,,,,,,,,,,,,,,,,,,6.35,7.55
38,2004-02-08,0.6,5.2,,,,,,,,,,,,,,,,,,8.4,10.6
39,2004-02-09,0.0,0.0,,,,,,,,,,,,,,,,,,7.75,10.7
40,2004-02-10,0.0,0.0,,,,,,,,,,,,,,,,,,6.65,8.15
41,2004-02-11,6.2,5.0,,,,,,,,,,,,,,,,,,6.05,6.0
42,2004-02-12,0.0,0.2,,,,,,,,,,,,,,,,,,4.6,7.45
43,2004-02-13,0.0,0.0,,,,,,,,,,,,,,,,,,2.65,
44,2004-02-14,0.0,,,,,,,,,,,,,,,,,,,4.5,
45,2004-02-15,0.0,0.0,,,,,,,,,,,,,,,,,,7.25,10.1
46,2004-02-16,0.0,0.0,,,,,,,,,,,,,,,,,,7.0,9.1
47,2004-02-17,0.0,0.0,,,,,,,,,,,,,,,,,,5.95,7.65
48,2004-02-18,0.4,0.4,,,,,,,,,,,,,,,,,,5.15,6.8
49,2004-02-19,,,,,,,,,,,,,,,,,,,,6.0,7.55
50,2004-02-20,0.0,3.0,,,,,,,,,,,,,,,,,,10.95,13.0
51,2004-02-21,12.0,3.2,,,,,,,,,,,,,,,,,,12.8,14.95
52,2004-02-22,20.8,,,,,,,,,,,,,,,,,,,10.35,
53,2004-02-23,8.2,7.4,,,,,,,,,,,,,,,,,,8.5,10.6
54,2004-02-24,6.2,8.4,,,,,,,,,,,,,,,,,,5.3,6.45
55,2004-02-25,5.6,3.2,,,,,,,,,,,,,,,,,,4.55,6.8
56,2004-02-26,5.2,5.8,,,,,,,,,,,,,,,,,,8.25,10.2
57,2004-02-27,0.4,0.6,,,,,,,,,,,,,,,,,,4.8,6.65
58,2004-02-28,9.2,11.4,,,,,,,,,,,,,,,,,,2.7,5.3
59,2004-02-29,7.2,6.0,,,,,,,,,,,,,,,,,,2.8,
60,2004-03-01,12.8,12.4,,,,,,,,,,,,,,,,,,2.15,
61,2004-03-02,1.0,0.2,,,,,,,,,,,,,,,,,,3.0,5.85
62,2004-03-03,0.0,0.0,,,,,,,,,,,,,,,,,,3.35,6.4
63,2004-03-04,0.0,0.0,,,,,,,,,,,,,,,,,,6.4,7.65
64,2004-03-05,0.0,0.0,,,,,,,,,,,,,,,,,,6.65,7.75
65,2004-03-06,0.0,0.0,,,,,,,,,,,,,,,,,,6.55,8.3
66,2004-03-07,,,,,,,,,,,,,,,,,,,,6.4,8.45
67,2004-03-08,5.6,6.2,,,,,,,,,,,,,,,,,,4.3,6.95
68,2004-03-09,0.0,0.0,,,,,,,,,,,,,,,,,,3.6,6.2
69,2004-03-10,0.0,0.0,,,,,,,,,,,,,,,,,,4.0,5.4
70,2004-03-11,13.4,8.8,,,,,,,,,,,,,,,,,,4.45,6.35
71,2004-03-12,0.0,0.0,,,,,,,,,,,,,,,,,,7.5,8.0
72,2004-03-13,0.0,0.0,,,,,,,,,,,,,,,,,,9.85,10.25
73,2004-03-14,0.0,0.0,,,,,,,,,,,,,,,,,,11.45,11.55
74,2004-03-15,0.0,0.0,,,,,,,,,,,,,,,,,,11.25,13.5
75,2004-03-16,0.0,0.0,,,,,,,,,,,,,,,,,,12.65,13.4
76,2004-03-17,0.0,0.0,,,,,,,,,,,,,,,,,,13.65,13.75
77,2004-03-18,0.0,0.2,,,,,,,,,,,,,,,,,,11.05,11.9
78,2004-03-19,0.0,0.2,,,,,,,,,,,,,,,,,,8.8,11.3
79,2004-03-20,0.0,0.0,,,,,,,,,,,,,,,,,,9.35,11.3
80,2004-03-21,0.0,1.4,,,,,,,,,,,,,,,,,,9.85,10.65
81,2004-03-22,2.4,4.8,,,,,,,,,,,,,,,,,,9.75,11.1
82,2004-03-23,10.8,10.6,,,,,,,,,,,,,,,,,,6.15,8.7
83,2004-03-24,8.6,13.4,,,,,,,,,,,,,,,,,,5.6,7.6
84,2004-03-25,0.6,0.0,,,,,,,,,,,,,,,,,,6.85,8.4
85,2004-03-26,0.6,0.0,,,,,,,,,,,,,,,,,,6.3,8.85
86,2004-03-27,0.2,0.0,,,,,,,,,,,,,,,,,,6.6,8.7
87,2004-03-28,0.0,0.0,,,,,,,,,,,,,,,,,,8.6,11.95
88,2004-03-29,0.0,0.0,,,,,,,,,,,,,,,,,,10.2,13.5
89,2004-03-30,0.0,0.0,,,,,,,,,,,,,,,,,,10.2,12.05
90,2004-03-31,,,,,,,,,,,,,,,,,,,,12.5,14.15
91,2004-04-01,5.8,4.2,,,,,,,,,,,,,,,,,,11.5,14.2
92,2004-04-02,0.0,0.2,,,,,,,,,,,,,,,,,,12.05,13.45
93,2004-04-03,0.0,0.0,,,,,,,,,,,,,,,,,,11.7,13.6
94,2004-04-04,0.2,0.0,,,,,,,,,,,,,,,,,,11.5,13.35
95,2004-04-05,0.0,0.2,,,,,,,,,,,,,,,,,,10.5,11.7
96,2004-04-06,0.2,0.0,,,,,,,,,,,,,,,,,,9.8,12.4
97,2004-04-07,0.4,1.2,,,,,,,,,,,,,,,,,,8.25,10.7
98,2004-04-08,0.0,0.0,,,,,,,,,,,,,,,,,,8.95,10.75
99,2004-04-09,8.8,8.6,,,,,,,,,,,,,,,,,,9.25,12.15
100,2004-04-10,3.4,11.6,,,,,,,,,,,,,,,,,,9.15,11.8
101,2004-04-11,13.6,11.6,,,,,,,,,,,,,,,,,,9.95,12.3
102,2004-04-12,16.4,15.0,,,,,,,,,,,,,,,,,,8.6,10.35
103,2004-04-13,8.4,6.8,,,,,,,,,,,,,,,,,,8.4,10.15
104,2004-04-14,1.8,5.8,,,,,,,,,,,,,,,,,,8.0,9.35
105,2004-04-15,0.2,0.2,,,,,,,,,,,,,,,,,,9.3,10.3
106,2004-04-16,16.4,15.6,,,,,,,,,,,,,,,,,,9.55,11.4
107,2004-04-17,22.6,,,,,,,,,,,,,,,,,,,11.6,13.85
108,2004-04-18,1.2,6.2,,,,,,,,,,,,,,,,,,10.4,13.2
109,2004-04-19,,,,,,,,,,,,,,,,,,,,8.25,10.4
110,2004-04-20,1.4,1.6,,,,,,,,,,,,,,,,,,9.5,11.75
111,2004-04-21,0.0,0.0,,,,,,,,,,,,,,,,,,11.95,12.9
112,2004-04-22,0.0,0.0,,,,,,,,,,,,,,,,,,13.4,14.55
113,2004-04-23,4.6,4.4,,,,,,,,,,,,,,,,,,13.55,15.25
114,2004-04-24,3.0,1.6,,,,,,,,,,,,,,,,,,13.55,15.4
115,2004-04-25,19.8,14.6,,,,,,,,,,,,,,,,,,9.35,11.8
116,2004-04-26,1.2,4.6,,,,,,,,,,,,,,,,,,12.55,15.8
117,2004-04-27,0.0,0.0,,,,,,,,,,,,,,,,,,12.5,15.05
118,2004-04-28,0.0,0.0,,,,,,,,,,,,,,,,,,12.9,14.15
119,2004-04-29,6.0,9.8,,,,,,,,,,,,,,,,,,12.5,14.85
120,2004-04-30,3.6,1.4,,,,,,,,,,,,,,,,,,11.5,14.35
121,2004-05-01,0.8,0.2,,,,,,,,,,,,,,,,,,12.95,14.85
122,2004-05-02,0.2,0.0,,,,,,,,,,,,,,,,,,12.25,14.0
123,2004-05-03,4.4,3.4,,,,,,,,,,,,,,,,,,15.6,16.7
124,2004-05-04,19.6,17.0,,,,,,,,,,,,,,,,,,13.2,15.45
125,2004-05-05,27.4,,,,,,,,,,,,,,,,,,,10.45,12.75
126,2004-05-06,25.4,7.0,,,,,,,,,,,,,,,,,,8.3,11.65
127,2004-05-07,1.6,3.2,,,,,,,,,,,,,,,,,,9.6,12.45
128,2004-05-08,0.6,0.4,,,,,,,,,,,,,,,,,,8.6,11.0
129,2004-05-09,0.2,0.0,,,,,,,,,,,,,,,,,,9.65,11.95
130,2004-05-10,0.0,0.0,,,,,,,,,,,,,,,,,,10.25,12.55
131,2004-05-11,0.0,0.0,,,,,,,,,,,,,,,,,,11.25,13.7
132,2004-05-12,4.2,5.2,,,,,,,,,,,,,,,,,,14.75,17.5
133,2004-05-13,0.0,0.0,,,,,,,,,,,,,,,,,,13.0,16.05
134,2004-05-14,8.0,9.8,,,,,,,,,,,,,,,,,,12.55,14.9
135,2004-05-15,0.0,0.0,,,,,,,,,,,,,,,,,,12.85,15.25
136,2004-05-16,0.2,0.0,,,,,,,,,,,,,,,,,,13.2,15.65
137,2004-05-17,0.0,0.0,,,,,,,,,,,,,,,,,,13.4,16.3
138,2004-05-18,0.0,0.0,,,,,,,,,,,,,,,,,,12.95,15.75
139,2004-05-19,0.0,0.0,,,,,,,,,,,,,,,,,,14.25,15.75
140,2004-05-20,0.0,0.0,,,,,,,,,,,,,,,,,,15.25,16.95
141,2004-05-21,0.0,0.0,,,,,,,,,,,,,,,,,,15.35,16.55
142,2004-05-22,0.0,0.0,,,,,,,,,,,,,,,,,,13.75,16.2
143,2004-05-23,24.6,23.4,,,,,,,,,,,,,,,,,,14.35,15.6
144,2004-05-24,0.2,0.0,,,,,,,,,,,,,,,,,,13.6,15.9
145,2004-05-25,0.0,0.0,,,,,,,,,,,,,,,,,,12.65,15.8
146,2004-05-26,0.0,0.0,,,,,,,,,,,,,,,,,,14.05,16.7
147,2004-05-27,0.0,0.0,,,,,,,,,,,,,,,,,,14.8,17.65
148,2004-05-28,0.0,0.0,,,,,,,,,,,,,,,,,,14.4,17.85
149,2004-05-29,0.0,0.0,,,,,,,,,,,,,,,,,,13.9,16.75
150,2004-05-30,0.4,6.6,,,,,,,,,,,,,,,,,,15.4,17.9
151,2004-05-31,0.0,8.2,,,,,,,,,,,,,,,,,,15.95,17.6
152,2004-06-01,1.2,0.8,,,,,,,,,,,,,,,,,,15.85,17.8
153,2004-06-02,1.2,2.6,,,,,,,,,,,,,,,,,,16.95,18.2
154,2004-06-03,6.0,9.0,,,,,,,,,,,,,,,,,,15.4,18.15
155,2004-06-04,0.2,0.0,,,,,,,,,,,,,,,,,,14.9,17.75
156,2004-06-05,3.2,,,,,,,,,,,,,,,,,,,15.1,17.45
157,2004-06-06,3.6,15.4,,,,,,,,,,,,,,,,,,14.8,16.45
158,2004-06-07,0.2,0.0,,,,,,,,,,,,,,,,,,16.15,18.75
159,2004-06-08,0.0,0.0,,,,,,,,,,,,,,,,,,18.25,21.5
160,2004-06-09,0.0,0.0,,,,,,,,,,,,,,,,,,19.55,21.8
161,2004-06-10,0.0,0.0,,,,,,,,,,,,,,,,,,21.75,22.55
162,2004-06-11,0.0,0.0,,,,,,,,,,,,,,,,,,21.55,23.85
163,2004-06-12,0.0,0.0,,,,,,,,,,,,,,,,,,20.0,22.0
164,2004-06-13,0.0,0.0,,,,,,,,,,,,,,,,,,19.0,20.5
165,2004-06-14,21.2,29.4,,,,,,,,,,,,,,,,,,16.95,18.75
166,2004-06-15,0.2,0.0,,,,,,,,,,,,,,,,,,16.35,18.75
167,2004-06-16,0.0,0.0,,,,,,,,,,,,,,,,,,16.55,19.05
168,2004-06-17,0.6,0.4,,,,,,,,,,,,,,,,,,17.85,20.55
169,2004-06-18,0.0,0.0,,,,,,,,,,,,,,,,,,19.1,21.8
170,2004-06-19,0.0,0.0,,,,,,,,,,,,,,,,,,18.95,19.8
171,2004-06-20,0.0,0.0,,,,,,,,,,,,,,,,,,18.35,20.85
172,2004-06-21,0.0,0.0,,,,,,,,,,,,,,,,,,16.5,19.05
173,2004-06-22,0.0,0.0,,,,,,,,,,,,,,,,,,17.6,20.65
174,2004-06-23,0.0,0.0,,,,,,,,,,,,,,,,,,20.4,22.65
175,2004-06-24,0.0,0.0,,,,,,,,,,,,,,,,,,19.5,21.2
176,2004-06-25,0.0,0.0,,,,,,,,,,,,,,,,,,20.0,21.1
177,2004-06-26,0.0,0.0,,,,,,,,,,,,,,,,,,20.7,21.95
178,2004-06-27,0.0,0.0,,,,,,,,,,,,,,,,,,21.45,23.3
179,2004-06-28,0.0,0.0,,,,,,,,,,,,,,,,,,23.25,25.7
180,2004-06-29,0.0,0.0,,,,,,,,,,,,,,,,,,21.7,24.1
181,2004-06-30,0.0,0.0,,,,,,,,,,,,,,,,,,21.35,23.45
182,2004-07-01,0.0,0.0,,,,,,,,,,,,,,,,,,20.15,22.25
183,2004-07-02,0.0,0.0,,,,,,,,,,,,,,,,,,21.3,22.85
184,2004-07-03,0.0,0.0,,,,,,,,,,,,,,,,,,21.3,22.75
