,Date,Rainfall_Simignano,Rainfall_Siena_Poggio_al_Vento,Rainfall_Mensano,Rainfall_Montalcinello,Rainfall_Monticiano_la_Pineta,Rainfall_Sovicille,Rainfall_Ponte_Orgia,Rainfall_Scorgiano,Rainfall_Pentolina,Rainfall_Monteroni_Arbia_Biena,Depth_to_Groundwater_Podere_Casetta,Depth_to_Groundwater_Pozzo_1,Depth_to_Groundwater_Pozzo_3,Depth_to_Groundwater_Pozzo_4,Temperature_Siena_Poggio_al_Vento,Temperature_Mensano,Temperature_Pentolina,Temperature_Monteroni_Arbia_Biena,Volume_Pozzo_1,Volume_Pozzo_3,Volume_Pozzo_4
0,2000-01-01,,,,,,,,,,,,,,,0.0,0.0,5.5,0.8,,,
1,2000-01-02,,,,,,,,,,,,,,,0.0,0.0,6.2,3.25,,,
2,2000-01-03,,,,,,,,,,,,,,,0.0,0.0,7.25,0.95,,,
3,2000-01-04,,,,,,,,,,,,,,,0.0,0.0,7.0,4.2,,,
4,2000-01-05,,,,,,,,,,,,,,,0.0,0.0,7.9,6.55,,,
5,2000-01-06,,,,,,,,,,,,,,,0.0,0.0,6.5,3.95,,,
6,2000-01-07,,,,,,,,,,,,,,,0.0,0.0,7.45,6.45,,,
7,2000-01-08,,,,,,,,,,,,,,,0.0,0.0,5.6,5.3,,,
8,2000-01-09,,,,,,,,,,,,,,,0.0,0.0,6.1,6.45,,,
9,2000-01-10,,,,,,,,,,,,,,,0.0,0.0,6.7,5.45,,,
10,2000-01-11,,,,,,,,,,,,,,,0.0,0.0,3.75,3.4,,,
11,2000-01-12,,,,,,,,,,,,,,,0.0,0.0,4.3,3.85,,,
12,2000-01-13,,,,,,,,,,,,,,,0.0,0.0,2.1,2.2,,,
13,2000-01-14,,,,,,,,,,,,,,,0.0,0.0,3.95,5.8,,,
14,2000-01-15,,,,,,,,,,,,,,,0.0,0.0,7.75,5.2,,,
15,2000-01-16,,,,,,,,,,,,,,,0.0,0.0,3.9,3.1,,,
16,2000-01-17,,,,,,,,,,,,,,,0.0,0.0,3.9,3.35,,,
17,2000-01-18,,,,,,,,,,,,,,,0.0,0.0,10.05,9.05,,,
18,2000-01-19,,,,,,,,,,,,,,,0.0,0.0,6.45,4.95,,,
19,2000-01-20,,,,,,,,,,,,,,,0.0,0.0,5.85,3.1,,,
20,2000-01-21,,,,,,,,,,,,,,,0.0,0.0,7.75,7.55,,,
21,2000-01-22,,,,,,,,,,,,,,,0.0,0.0,6.5,6.9,,,
22,2000-01-23,,,,,,,,,,,,,,,0.0,0.0,2.55,3.25,,,
23,2000-01-24,,,,,,,,,,,,,,,0.0,0.0,2.4,1.35,,,
24,2000-01-25,,,,,,,,,,,,,,,0.0,0.0,,,,,
25,2000-01-26,,,,,,,,,,,,,,,0.0,0.0,1.05,0.2,,,
26,2000-01-27,,,,,,,,,,,,,,,0.0,0.0,3.0,,,,
27,2000-01-28,,,,,,,,,,,,,,,0.0,0.0,6.0,3.45,,,
28,2000-01-29,,,,,,,,,,,,,,,0.0,0.0,8.5,7.75,,,
29,2000-01-30,,,,,,,,,,,,,,,0.0,0.0,9.3,7.3,,,
30,2000-01-31,,,,,,,,,,,,,,,0.0,0.0,8.3,5.2,,,
31,2000-02-01,,,,,,,,,,,,,,,0.0,0.0,10.3,8.85,,,
32,2000-02-02,,,,,,,,,,,,,,,0.0,0.0,8.75,7.25,,,
33,2000-02-03,,,,,,,,,,,,,,,0.0,0.0,12.35,9.8,,,
34,2000-02-04,,,,,,,,,,,,,,,0.0,0.0,11.35,7.05,,,
35,2000-02-05,,,,,,,,,,,,,,,0.0,0.0,8.45,6.45,,,
36,2000-02-06,,,,,,,,,,,,,,,0.0,0.0,9.35,7.8,,,
