,Date,Rainfall_Bastia_Umbra,Depth_to_Groundwater_P24,Depth_to_Groundwater_P25,Temperature_Bastia_Umbra,Temperature_Petrignano,Volume_C10_Petrignano,Hydrometry_Fiume_Chiascio_Petrignano
0,2006-03-14,,-22.48,-22.18,,,,
1,2006-03-15,,-22.38,-22.14,,,,
2,2006-03-16,,-22.25,-22.04,,,,
3,2006-03-17,,-22.38,-22.04,,,,
4,2006-03-18,,-22.6,-22.04,,,,
5,2006-03-19,,-22.35,-21.95,,,,
6,2006-03-20,,-22.5,-21.99,,,,
7,2006-03-21,,-22.31,-21.89,,,,
8,2006-03-22,,-22.31,-21.82,,,,
9,2006-03-23,,-22.4,-21.89,,,,
10,2006-03-24,,-22.32,-21.89,,,,
11,2006-03-25,,-22.25,-21.82,,,,
12,2006-03-26,,-22.15,-21.79,,,,
13,2006-03-27,,-22.47,-21.83,,,,
14,2006-03-28,,-22.27,-21.75,,,,
15,2006-03-29,,-22.52,-21.81,,,,
16,2006-03-30,,-22.5,-21.84,,,,
17,2006-03-31,,-22.7,-21.87,,,,
18,2006-04-01,,-22.77,-21.9,,,,
19,2006-04-02,,-22.49,-21.83,,,,
20,2006-04-03,,-22.77,-21.88,,,,
21,2006-04-04,,-22.65,-21.89,,,,
22,2006-04-05,,-22.49,-21.79,,,,
23,2006-04-06,,-22.43,-21.73,,,,
24,2006-04-07,,-22.43,-21.73,,,,
25,2006-04-08,,-22.52,-21.74,,,,
26,2006-04-09,,-22.31,-21.75,,,,
27,2006-04-10,,-21.96,-21.58,,,,
28,2006-04-11,,-21.87,-21.46,,,,
29,2006-04-12,,-21.88,-21.44,,,,
30,2006-04-13,,-21.92,-21.45,,,,
31,2006-04-14,,-22.07,-21.52,,,,
32,2006-04-15,,-22.12,-21.52,,,,
33,2006-04-16,,-21.5,-21.32,,,,
34,2006-04-17,,-21.79,-21.37,,,,
35,2006-04-18,,-22.12,-21.44,,,,
36,2006-04-19,,-22.4,-21.57,,,,
37,2006-04-20,,-22.46,-21.69,,,,
38,2006-04-21,,-22.45,-21.71,,,,
39,2006-04-22,,-22.43,-21.69,,,,
40,2006-04-23,,-22.09,-21.61,,,,
41,2006-04-24,,-22.35,-21.67,,,,
