,Date,Rainfall_S_Piero,Rainfall_Mangona,Rainfall_S_Agata,Rainfall_Cavallina,Rainfall_Le_Croci,Temperature_Le_Croci,Lake_Level,Flow_Rate
0,2002-06-03,,,,,,,249.43,
1,2002-06-04,,,,,,,249.43,
2,2002-06-05,,,,,,,249.43,
3,2002-06-06,,,,,,,249.43,
4,2002-06-07,,,,,,,249.44,
5,2002-06-08,,,,,,,249.56,
6,2002-06-09,,,,,,,249.57,
7,2002-06-10,,,,,,,249.58,
8,2002-06-11,,,,,,,249.57,
9,2002-06-12,,,,,,,249.57,
10,2002-06-13,,,,,,,249.57,
11,2002-06-14,,,,,,,249.57,
12,2002-06-15,,,,,,,249.57,
13,2002-06-16,,,,,,,249.56,
14,2002-06-17,,,,,,,249.56,
15,2002-06-18,,,,,,,249.56,
16,2002-06-19,,,,,,,249.55,
17,2002-06-20,,,,,,,249.55,
18,2002-06-21,,,,,,,249.54,
19,2002-06-22,,,,,,,249.53,
20,2002-06-23,,,,,,,249.52,
21,2002-06-24,,,,,,,249.51,
22,2002-06-25,,,,,,,249.5,
23,2002-06-26,,,,,,,249.49,
24,2002-06-27,,,,,,,249.47,
25,2002-06-28,,,,,,,249.46,
26,2002-06-29,,,,,,,249.45,
27,2002-06-30,,,,,,,249.43,1.7
28,2002-07-01,,,,,,,249.39,1.7
29,2002-07-02,,,,,,,249.35,1.7
30,2002-07-03,,,,,,,249.32,1.7
31,2002-07-04,,,,,,,249.28,1.7
32,2002-07-05,,,,,,,249.24,2.0
33,2002-07-06,,,,,,,249.2,2.0
34,2002-07-07,,,,,,,249.16,2.0
35,2002-07-08,,,,,,,249.12,2.0
36,2002-07-09,,,,,,,249.07,2.0
37,2002-07-10,,,,,,,249.05,1.2
38,2002-07-11,,,,,,,249.02,1.2
39,2002-07-12,,,,,,,248.98,2.0
40,2002-07-13,,,,,,,248.94,2.0
41,2002-07-14,,,,,,,248.9,2.0
42,2002-07-15,,,,,,,248.87,0.6
43,2002-07-16,,,,,,,248.91,0.6
44,2002-07-17,,,,,,,248.91,0.6
45,2002-07-18,,,,,,,248.9,0.6
46,2002-07-19,,,,,,,248.88,1.5
