,Date,Rainfall_Le_Croci,Rainfall_Cavallina,Rainfall_S_Agata,Rainfall_Mangona,Rainfall_S_Piero,Rainfall_Vernio,Rainfall_Stia,Rainfall_Consuma,Rainfall_Incisa,Rainfall_Montevarchi,Rainfall_S_Savino,Rainfall_Laterina,Rainfall_Bibbiena,Rainfall_Camaldoli,Temperature_Firenze,Hydrometry_Nave_di_Rosano
0,1998-01-01,,,,,,,,,,,,,,,,1.82
1,1998-01-02,,,,,,,,,,,,,,,,1.94
2,1998-01-03,,,,,,,,,,,,,,,,2.11
3,1998-01-04,,,,,,,,,,,,,,,,1.84
4,1998-01-05,,,,,,,,,,,,,,,,1.88
5,1998-01-06,,,,,,,,,,,,,,,,1.79
6,1998-01-07,,,,,,,,,,,,,,,,1.77
7,1998-01-08,,,,,,,,,,,,,,,,1.83
8,1998-01-09,,,,,,,,,,,,,,,,1.82
9,1998-01-10,,,,,,,,,,,,,,,,1.63
10,1998-01-11,,,,,,,,,,,,,,,,1.46
11,1998-01-12,,,,,,,,,,,,,,,,1.59
12,1998-01-13,,,,,,,,,,,,,,,,1.68
13,1998-01-14,,,,,,,,,,,,,,,,1.71
14,1998-01-15,,,,,,,,,,,,,,,,1.79
15,1998-01-16,,,,,,,,,,,,,,,,1.81
16,1998-01-17,,,,,,,,,,,,,,,,1.83
17,1998-01-18,,,,,,,,,,,,,,,,1.63
18,1998-01-19,,,,,,,,,,,,,,,,2.06
19,1998-01-20,,,,,,,,,,,,,,,,
20,1998-01-21,,,,,,,,,,,,,,,,2.64
21,1998-01-22,,,,,,,,,,,,,,,,2.23
22,1998-01-23,,,,,,,,,,,,,,,,2.22
23,1998-01-24,,,,,,,,,,,,,,,,1.72
24,1998-01-25,,,,,,,,,,,,,,,,1.68
25,1998-01-26,,,,,,,,,,,,,,,,1.77
26,1998-01-27,,,,,,,,,,,,,,,,1.75
27,1998-01-28,,,,,,,,,,,,,,,,1.75
28,1998-01-29,,,,,,,,,,,,,,,,1.72
29,1998-01-30,,,,,,,,,,,,,,,,1.68
30,1998-01-31,,,,,,,,,,,,,,,,1.56
31,1998-02-01,,,,,,,,,,,,,,,,1.45
32,1998-02-02,,,,,,,,,,,,,,,,1.49
33,1998-02-03,,,,,,,,,,,,,,,,1.66
34,1998-02-04,,,,,,,,,,,,,,,,1.96
35,1998-02-05,,,,,,,,,,,,,,,,2.06
36,1998-02-06,,,,,,,,,,,,,,,,1.92
37,1998-02-07,,,,,,,,,,,,,,,,1.86
38,1998-02-08,,,,,,,,,,,,,,,,1.63
39,1998-02-09,,,,,,,,,,,,,,,,1.65
40,1998-02-10,,,,,,,,,,,,,,,,1.72
41,1998-02-11,,,,,,,,,,,,,,,,1.67
42,1998-02-12,,,,,,,,,,,,,,,,1.69
43,1998-02-13,,,,,,,,,,,,,,,,1.64
44,1998-02-14,,,,,,,,,,,,,,,,1.48
45,1998-02-15,,,,,,,,,,,,,,,,1.39
46,1998-02-16,,,,,,,,,,,,,,,,1.51
47,1998-02-17,,,,,,,,,,,,,,,,1.62
48,1998-02-18,,,,,,,,,,,,,,,,1.52
49,1998-02-19,,,,,,,,,,,,,,,,1.55
50,1998-02-20,,,,,,,,,,,,,,,,1.49
51,1998-02-21,,,,,,,,,,,,,,,,1.35
52,1998-02-22,,,,,,,,,,,,,,,,1.34
53,1998-02-23,,,,,,,,,,,,,,,,1.79
54,1998-02-24,,,,,,,,,,,,,,,,2.33
55,1998-02-25,,,,,,,,,,,,,,,,2.15
56,1998-02-26,,,,,,,,,,,,,,,,2.07
57,1998-02-27,,,,,,,,,,,,,,,,1.83
58,1998-02-28,,,,,,,,,,,,,,,,1.55
59,1998-03-01,,,,,,,,,,,,,,,,1.45
60,1998-03-02,,,,,,,,,,,,,,,,1.56
61,1998-03-03,,,,,,,,,,,,,,,,1.7
62,1998-03-04,,,,,,,,,,,,,,,,1.69
63,1998-03-05,,,,,,,,,,,,,,,,1.67
64,1998-03-06,,,,,,,,,,,,,,,,1.59
65,1998-03-07,,,,,,,,,,,,,,,,1.5
66,1998-03-08,,,,,,,,,,,,,,,,1.38
67,1998-03-09,,,,,,,,,,,,,,,,1.51
68,1998-03-10,,,,,,,,,,,,,,,,1.61
69,1998-03-11,,,,,,,,,,,,,,,,1.62
70,1998-03-12,,,,,,,,,,,,,,,,1.69
71,1998-03-13,,,,,,,,,,,,,,,,2.29
72,1998-03-14,,,,,,,,,,,,,,,,2.09
73,1998-03-15,,,,,,,,,,,,,,,,1.66
74,1998-03-16,,,,,,,,,,,,,,,,1.86
75,1998-03-17,,,,,,,,,,,,,,,,1.79
76,1998-03-18,,,,,,,,,,,,,,,,1.71
77,1998-03-19,,,,,,,,,,,,,,,,1.79
78,1998-03-20,,,,,,,,,,,,,,,,1.75
79,1998-03-21,,,,,,,,,,,,,,,,1.52
80,1998-03-22,,,,,,,,,,,,,,,,1.36
81,1998-03-23,,,,,,,,,,,,,,,,1.52
82,1998-03-24,,,,,,,,,,,,,,,,1.77
83,1998-03-25,,,,,,,,,,,,,,,,1.83
84,1998-03-26,,,,,,,,,,,,,,,,1.91
85,1998-03-27,,,,,,,,,,,,,,,,1.65
86,1998-03-28,,,,,,,,,,,,,,,,1.69
87,1998-03-29,,,,,,,,,,,,,,,,1.48
88,1998-03-30,,,,,,,,,,,,,,,,1.83
89,1998-03-31,,,,,,,,,,,,,,,,1.68
90,1998-04-01,,,,,,,,,,,,,,,,1.7
91,1998-04-02,,,,,,,,,,,,,,,,1.81
92,1998-04-03,,,,,,,,,,,,,,,,1.81
93,1998-04-04,,,,,,,,,,,,,,,,1.51
94,1998-04-05,,,,,,,,,,,,,,,,1.43
95,1998-04-06,,,,,,,,,,,,,,,,1.98
96,1998-04-07,,,,,,,,,,,,,,,,2.02
97,1998-04-08,,,,,,,,,,,,,,,,1.88
98,1998-04-09,,,,,,,,,,,,,,,,1.87
99,1998-04-10,,,,,,,,,,,,,,,,1.98
100,1998-04-11,,,,,,,,,,,,,,,,2.52
101,1998-04-12,,,,,,,,,,,,,,,,
102,1998-04-13,,,,,,,,,,,,,,,,3.0
103,1998-04-14,,,,,,,,,,,,,,,,2.6
104,1998-04-15,,,,,,,,,,,,,,,,2.47
105,1998-04-16,,,,,,,,,,,,,,,,
106,1998-04-17,,,,,,,,,,,,,,,,
107,1998-04-18,,,,,,,,,,,,,,,,2.88
108,1998-04-19,,,,,,,,,,,,,,,,2.64
109,1998-04-20,,,,,,,,,,,,,,,,2.36
110,1998-04-21,,,,,,,,,,,,,,,,2.06
111,1998-04-22,,,,,,,,,,,,,,,,2.01
112,1998-04-23,,,,,,,,,,,,,,,,2.01
113,1998-04-24,,,,,,,,,,,,,,,,2.09
114,1998-04-25,,,,,,,,,,,,,,,,1.69
115,1998-04-26,,,,,,,,,,,,,,,,1.57
116,1998-04-27,,,,,,,,,,,,,,,,1.75
117,1998-04-28,,,,,,,,,,,,,,,,2.03
118,1998-04-29,,,,,,,,,,,,,,,,2.37
119,1998-04-30,,,,,,,,,,,,,,,,2.36
120,1998-05-01,,,,,,,,,,,,,,,,2.37
121,1998-05-02,,,,,,,,,,,,,,,,2.53
122,1998-05-03,,,,,,,,,,,,,,,,2.42
123,1998-05-04,,,,,,,,,,,,,,,,2.14
124,1998-05-05,,,,,,,,,,,,,,,,2.21
125,1998-05-06,,,,,,,,,,,,,,,,2.07
126,1998-05-07,,,,,,,,,,,,,,,,2.11
127,1998-05-08,,,,,,,,,,,,,,,,1.81
128,1998-05-09,,,,,,,,,,,,,,,,1.66
129,1998-05-10,,,,,,,,,,,,,,,,1.51
130,1998-05-11,,,,,,,,,,,,,,,,1.64
131,1998-05-12,,,,,,,,,,,,,,,,1.72
132,1998-05-13,,,,,,,,,,,,,,,,1.71
133,1998-05-14,,,,,,,,,,,,,,,,1.72
134,1998-05-15,,,,,,,,,,,,,,,,1.54
135,1998-05-16,,,,,,,,,,,,,,,,1.4
136,1998-05-17,,,,,,,,,,,,,,,,1.38
137,1998-05-18,,,,,,,,,,,,,,,,1.38
138,1998-05-19,,,,,,,,,,,,,,,,1.43
139,1998-05-20,,,,,,,,,,,,,,,,1.47
