,Date,Rainfall_Castel_del_Piano,Rainfall_Abbadia_S_Salvatore,Rainfall_S_Fiora,Rainfall_Laghetto_Verde,Rainfall_Vetta_Amiata,Depth_to_Groundwater_S_Fiora_8,Depth_to_Groundwater_S_Fiora_11bis,Depth_to_Groundwater_David_Lazzaretti,Temperature_Abbadia_S_Salvatore,Temperature_S_Fiora,Temperature_Laghetto_Verde,Flow_Rate_Bugnano,Flow_Rate_Arbure,Flow_Rate_Ermicciolo,Flow_Rate_Galleria_Alta
0,2000-01-01,,,,,,,,,,-0.15,,,,,
1,2000-01-02,,,,,,,,,,1.55,,,,,
2,2000-01-03,,,,,,,,,,2.7,,,,,
3,2000-01-04,,,,,,,,,,4.0,,,,,
4,2000-01-05,,,,,,,,,,4.6,,,,,
5,2000-01-06,,,,,,,,,,4.3,,,,,
6,2000-01-07,,,,,,,,,,3.85,,,,,
7,2000-01-08,,,,,,,,,,4.3,,,,,
8,2000-01-09,,,,,,,,,,5.15,,,,,
9,2000-01-10,,,,,,,,,,4.45,,,,,
10,2000-01-11,,,,,,,,,,1.0,,,,,
11,2000-01-12,,,,,,,,,,3.55,,,,,
12,2000-01-13,,,,,,,,,,2.55,,,,,
13,2000-01-14,,,,,,,,,,3.9,,,,,
14,2000-01-15,,,,,,,,,,4.8,,,,,
15,2000-01-16,,,,,,,,,,2.65,,,,,
16,2000-01-17,,,,,,,,,,0.95,,,,,
17,2000-01-18,,,,,,,,,,6.55,,,,,
18,2000-01-19,,,,,,,,,,2.35,,,,,
19,2000-01-20,,,,,,,,,,2.15,,,,,
20,2000-01-21,,,,,,,,,,4.35,,,,,
21,2000-01-22,,,,,,,,,,2.8,,,,,
22,2000-01-23,,,,,,,,,,-0.15,,,,,
23,2000-01-24,,,,,,,,,,,,,,,
24,2000-01-25,,,,,,,,,,,,,,,
25,2000-01-26,,,,,,,,,,,,,,,
26,2000-01-27,,,,,,,,,,0.55,,,,,
27,2000-01-28,,,,,,,,,,2.3,,,,,
28,2000-01-29,,,,,,,,,,5.3,,,,,
29,2000-01-30,,,,,,,,,,5.2,,,,,
30,2000-01-31,,,,,,,,,,5.05,,,,,
31,2000-02-01,,,,,,,,,,6.85,,,,,
32,2000-02-02,,,,,,,,,,5.9,,,,,
33,2000-02-03,,,,,,,,,,6.7,,,,,
34,2000-02-04,,,,,,,,,,4.4,,,,,
35,2000-02-05,,,,,,,,,,4.7,,,,,
36,2000-02-06,,,,,,,,,,5.6,,,,,
37,2000-02-07,,,,,,,,,,4.85,,,,,
38,2000-02-08,,,,,,,,,,6.3,,,,,
39,2000-02-09,,,,,,,,,,5.2,,,,,
40,2000-02-10,,,,,,,,,,3.05,,,,,
41,2000-02-11,,,,,,,,,,3.35,,,,,
42,2000-02-12,,,,,,,,,,4.0,,,,,
43,2000-02-13,,,,,,,,,,4.45,,,,,
44,2000-02-14,,,,,,,,,,6.3,,,,,
45,2000-02-15,,,,,,,,,,4.9,,,,,
46,2000-02-16,,,,,,,,,,6.5,,,,,
47,2000-02-17,,,,,,,,,,1.85,,,,,
48,2000-02-18,,,,,,,,,,2.45,,,,,
49,2000-02-19,,,,,,,,,,5.25,,,,,
50,2000-02-20,,,,,,,,,,5.5,,,,,
51,2000-02-21,,,,,,,,,,3.3,,,,,
52,2000-02-22,,,,,,,,,,2.6,,,,,
53,2000-02-23,,,,,,,,,,2.05,,,,,
54,2000-02-24,,,,,,,,,,3.95,,,,,
55,2000-02-25,,,,,,,,,,4.6,,,,,
56,2000-02-26,,,,,,,,,,6.15,,,,,
57,2000-02-27,,,,,,,,,,6.85,,,,,
58,2000-02-28,,,,,,,,,,6.5,,,,,
59,2000-02-29,,,,,,,,,,5.15,,,,,
60,2000-03-01,,,,,,,,,,5.35,,,,,
61,2000-03-02,,,,,,,,,,4.55,,,,,
62,2000-03-03,,,,,,,,,,4.75,,,,,
63,2000-03-04,,,,,,,,,,6.25,,,,,
64,2000-03-05,,,,,,,,,,4.9,,,,,
