,Date,Rainfall_Terni,Flow_Rate_Lupa
0,2009-01-01,2.797,
1,2009-01-02,2.797,
2,2009-01-03,2.797,
3,2009-01-04,2.797,
4,2009-01-05,2.797,
5,2009-01-06,2.797,
6,2009-01-07,2.797,
7,2009-01-08,2.797,
8,2009-01-09,2.797,
9,2009-01-10,2.797,
10,2009-01-11,2.797,
11,2009-01-12,2.797,
12,2009-01-13,2.797,
13,2009-01-14,2.797,
14,2009-01-15,2.797,
15,2009-01-16,2.797,
16,2009-01-17,2.797,
17,2009-01-18,2.797,
18,2009-01-19,2.797,
19,2009-01-20,2.797,
20,2009-01-21,2.797,
21,2009-01-22,2.797,
22,2009-01-23,2.797,
23,2009-01-24,2.797,
24,2009-01-25,2.797,
25,2009-01-26,2.797,
26,2009-01-27,2.797,
27,2009-01-28,2.797,
28,2009-01-29,2.797,
29,2009-01-30,2.797,
30,2009-01-31,2.797,
31,2009-02-01,2.763,
32,2009-02-02,2.763,
33,2009-02-03,2.763,
34,2009-02-04,2.763,
35,2009-02-05,2.763,
36,2009-02-06,2.763,
37,2009-02-07,2.763,
38,2009-02-08,2.763,
39,2009-02-09,2.763,
40,2009-02-10,2.763,
41,2009-02-11,2.763,
42,2009-02-12,2.763,
43,2009-02-13,2.763,
44,2009-02-14,2.763,
45,2009-02-15,2.763,
46,2009-02-16,2.763,
47,2009-02-17,2.763,
48,2009-02-18,2.763,
49,2009-02-19,2.763,
50,2009-02-20,2.763,
51,2009-02-21,2.763,
52,2009-02-22,2.763,
53,2009-02-23,2.763,
54,2009-02-24,2.763,
55,2009-02-25,2.763,
56,2009-02-26,2.763,
57,2009-02-27,2.763,
58,2009-02-28,2.763,
59,2009-03-01,2.076,
60,2009-03-02,2.076,
61,2009-03-03,2.076,
62,2009-03-04,2.076,
63,2009-03-05,2.076,
64,2009-03-06,2.076,
65,2009-03-07,2.076,
66,2009-03-08,2.076,
67,2009-03-09,2.076,
68,2009-03-10,2.076,
69,2009-03-11,2.076,
70,2009-03-12,2.076,
71,2009-03-13,2.076,
72,2009-03-14,2.076,
73,2009-03-15,2.076,
74,2009-03-16,2.076,
75,2009-03-17,2.076,
76,2009-03-18,2.076,
77,2009-03-19,2.076,
78,2009-03-20,2.076,
79,2009-03-21,2.076,
80,2009-03-22,2.076,
81,2009-03-23,2.076,
82,2009-03-24,2.076,
83,2009-03-25,2.076,
84,2009-03-26,2.076,
85,2009-03-27,2.076,
86,2009-03-28,2.076,
87,2009-03-29,2.076,
88,2009-03-30,2.076,
89,2009-03-31,2.076,
90,2009-04-01,2.79,
91,2009-04-02,2.79,
92,2009-04-03,2.79,
93,2009-04-04,2.79,
94,2009-04-05,2.79,
95,2009-04-06,2.79,
96,2009-04-07,2.79,
97,2009-04-08,2.79,
98,2009-04-09,2.79,
99,2009-04-10,2.79,
100,2009-04-11,2.79,
101,2009-04-12,2.79,
102,2009-04-13,2.79,
103,2009-04-14,2.79,
104,2009-04-15,2.79,
105,2009-04-16,2.79,
106,2009-04-17,2.79,
107,2009-04-18,2.79,
108,2009-04-19,2.79,
109,2009-04-20,2.79,
110,2009-04-21,2.79,
