,Date,Rainfall_Settefrati,Temperature_Settefrati,Flow_Rate_Madonna_di_Canneto
0,2012-01-01,0.0,5.25,
1,2012-01-02,5.6,6.65,
2,2012-01-03,10.0,8.85,
3,2012-01-04,0.0,6.75,
4,2012-01-05,1.0,5.55,
5,2012-01-06,5.2,5.05,
6,2012-01-07,0.0,4.3,
7,2012-01-08,0.0,5.7,
8,2012-01-09,0.0,3.15,
9,2012-01-10,0.2,4.4,
10,2012-01-11,0.0,4.75,
11,2012-01-12,0.0,6.7,
12,2012-01-13,0.0,5.2,
13,2012-01-14,0.0,4.3,
14,2012-01-15,0.0,2.0,
15,2012-01-16,0.0,,
16,2012-01-17,0.0,,
17,2012-01-18,0.0,2.65,
18,2012-01-19,0.0,3.8,
19,2012-01-20,8.4,5.65,
20,2012-01-21,0.0,6.3,
21,2012-01-22,0.0,6.4,
22,2012-01-23,0.0,6.8,
23,2012-01-24,0.2,7.0,
24,2012-01-25,0.0,1.85,
25,2012-01-26,0.0,2.0,
26,2012-01-27,0.0,2.8,
27,2012-01-28,0.0,3.35,
28,2012-01-29,0.0,4.65,
29,2012-01-30,0.0,4.55,
30,2012-01-31,3.0,,
31,2012-02-01,13.8,,
32,2012-02-02,7.2,,
33,2012-02-03,9.2,,
34,2012-02-04,4.8,,
35,2012-02-05,1.8,,
36,2012-02-06,5.6,,
37,2012-02-07,1.2,,
38,2012-02-08,7.8,2.05,
39,2012-02-09,14.8,,
40,2012-02-10,1.0,,
41,2012-02-11,10.4,,
42,2012-02-12,13.2,,
43,2012-02-13,16.4,,
44,2012-02-14,11.0,,
45,2012-02-15,1.2,,
46,2012-02-16,0.0,2.9,
47,2012-02-17,0.0,2.0,
48,2012-02-18,0.0,4.75,
49,2012-02-19,2.8,4.9,
50,2012-02-20,8.8,5.4,
51,2012-02-21,0.2,7.2,
52,2012-02-22,0.0,7.35,
53,2012-02-23,0.0,8.65,
54,2012-02-24,0.0,9.8,
55,2012-02-25,0.0,11.05,
56,2012-02-26,0.0,8.25,
57,2012-02-27,2.2,3.7,
58,2012-02-28,0.0,5.15,
59,2012-02-29,0.0,9.75,
60,2012-03-01,0.0,13.25,
61,2012-03-02,0.0,12.35,
62,2012-03-03,0.0,9.8,
63,2012-03-04,0.0,8.25,
64,2012-03-05,8.8,9.25,
65,2012-03-06,7.6,5.55,
66,2012-03-07,0.0,6.05,
67,2012-03-08,0.0,5.35,
68,2012-03-09,0.0,7.5,
69,2012-03-10,0.0,9.2,
70,2012-03-11,0.0,9.15,
71,2012-03-12,0.0,8.35,
72,2012-03-13,0.0,9.15,
73,2012-03-14,0.0,9.25,
74,2012-03-15,0.0,11.75,
75,2012-03-16,0.0,12.65,
76,2012-03-17,0.0,11.55,
77,2012-03-18,0.0,12.25,
78,2012-03-19,0.0,12.2,
79,2012-03-20,0.0,14.1,
80,2012-03-21,0.0,15.2,
81,2012-03-22,0.0,15.5,
82,2012-03-23,0.0,14.3,
83,2012-03-24,0.0,12.95,
84,2012-03-25,0.0,12.05,
85,2012-03-26,0.0,13.3,
86,2012-03-27,0.0,12.8,
87,2012-03-28,0.0,14.0,
88,2012-03-29,0.0,13.9,
89,2012-03-30,0.0,12.05,
90,2012-03-31,0.0,12.35,
91,2012-04-01,0.0,11.6,
92,2012-04-02,0.2,13.2,
93,2012-04-03,0.4,15.7,
94,2012-04-04,0.0,16.05,
95,2012-04-05,,12.3,
96,2012-04-06,0.2,12.9,
97,2012-04-07,5.6,8.75,
98,2012-04-08,19.4,8.0,
99,2012-04-09,0.2,6.25,
100,2012-04-10,0.0,8.7,
101,2012-04-11,12.6,7.45,
102,2012-04-12,0.2,9.65,
103,2012-04-13,14.8,8.45,
104,2012-04-14,19.4,9.25,
105,2012-04-15,9.4,9.15,
106,2012-04-16,8.2,9.4,
107,2012-04-17,2.2,8.65,
108,2012-04-18,3.0,8.75,
109,2012-04-19,13.0,9.35,
110,2012-04-20,21.0,7.2,
111,2012-04-21,0.4,9.9,
112,2012-04-22,5.2,11.25,
113,2012-04-23,10.0,9.8,
114,2012-04-24,3.6,10.8,
115,2012-04-25,0.0,10.75,
116,2012-04-26,0.0,13.35,
117,2012-04-27,0.0,18.65,
118,2012-04-28,0.0,21.65,
119,2012-04-29,0.0,18.3,
120,2012-04-30,0.0,18.95,
121,2012-05-01,0.4,18.8,
122,2012-05-02,0.0,16.65,
123,2012-05-03,0.0,14.95,
124,2012-05-04,0.0,13.7,
125,2012-05-05,0.0,13.35,
126,2012-05-06,2.4,12.2,
127,2012-05-07,5.6,13.0,
128,2012-05-08,0.2,14.7,
129,2012-05-09,0.0,15.95,
130,2012-05-10,0.0,18.2,
131,2012-05-11,0.0,19.5,
132,2012-05-12,0.0,20.35,
133,2012-05-13,0.0,19.3,
134,2012-05-14,14.4,10.05,
135,2012-05-15,0.0,10.85,
136,2012-05-16,6.6,11.3,
137,2012-05-17,0.0,10.7,
138,2012-05-18,0.0,11.85,
139,2012-05-19,0.0,16.0,
140,2012-05-20,0.4,17.0,
141,2012-05-21,10.6,13.3,
142,2012-05-22,8.0,10.5,
143,2012-05-23,0.8,12.3,
144,2012-05-24,0.2,17.0,
145,2012-05-25,0.0,19.05,
146,2012-05-26,17.6,14.45,
147,2012-05-27,0.2,14.5,
148,2012-05-28,7.0,12.75,
149,2012-05-29,0.6,14.35,
150,2012-05-30,4.8,17.55,
151,2012-05-31,17.2,17.35,
152,2012-06-01,0.0,17.15,
153,2012-06-02,0.0,18.25,
154,2012-06-03,0.0,19.3,
155,2012-06-04,4.0,16.0,
156,2012-06-05,0.2,15.95,
157,2012-06-06,0.0,17.85,
158,2012-06-07,0.0,19.35,
159,2012-06-08,0.0,22.95,
160,2012-06-09,0.0,22.1,
